name,birth_date
Dolly Parton,19 January 1946
Elvis Presly,08 January 1935
Stephen Hawking,08 January 1942
Muhammed Ali,17 January 1942
Christian Bale,30 January 1974
Richard Nixon,09 January 1913
David Bowie,08 January 1947
Lewis Hamilton,07 January 1985
"Martin Luther King, Jr.",15 January 1929
Rowan Atkinson,06 January 1955
Tom Selleck,29 January 1945
Nicolas Cage,07 January 1964
Isaac Newton,07 January 1843
Al Capone,17 January 1899
Greta Thunberg,03 January 2003
Rod Stewart,10 January 1945
J. R. R. Tolkien,03 January 1892
Benjamin Franklin,17 January 1706
Grigori Rasputin,21 January 1869
Wolfgang Amadeus Mozart,27 January 1756
Orlando Bloom,13 January 1977
Joan of Arc,06 January 1412
Jason Bateman,14 January 1969
Buzz Aldrin,20 January 1930
Wayne Gretzky,26 January 1961
Dave Grohl,14 January 1969
Virginia Woolf,25 January 1882
Peter Crouch,30 January 1981
Jennifer Aniston,11 February 1969
Harry Styles,01 February 1994
Steve Jobs,24 February 1955
Abraham Lincoln,12 February 1809
George Washington,22 February 1732
Ronald Reagan,06 February 1911
Johnny Cash,26 February 1932
Ed Sheeran,17 February 1991
Alan Rickman,21 February 1946
Elizabeth Banks,10 February 1974
Kurt Cobain,20 February 1967
Bob Marley,06 February 1945
George Harrison,25 February 1943
Thomas Edison,11 February 1847
Charles Dickens,07 February 1812
Steve Irwin,22 February 1962
Emma Roberts,10 February 1991
Shakira Isabel Mebarak Ripoll,02 February 1977
Elton John,25 March 1947
Camila Cabello,03 March 1997
Justin Bieber,01 March 1994
Mariah Carey,27 March 1970
Albert Einstein,14 March 1879
Lady Gaga,28 March 1986
Reese Witherspoon,22 March 1976
Daniel Craig,02 March 1968
Quentin Tarantino,27 March 1963
Keira Knightley,26 March 1985
Ewan McGregor,31 March 1971
Bruce Willis,19 March 1955
Vincent van Gogh,30 March 1853
Jnna Fischer,07 March 1974
Eric Clapton,30 March 1945
Jerome Flynn,16 March 1963
Chris Martin,02 March 1977
Mikhail Gorbachev,02 March 1931
Larry Page,26 March 1973
Ruth Bader Ginsburg,15 March 1933
Andrew Jackson,15 March 1767
Michael Caine,14 March 1933
Bryan Cranston,07 March 1956
Heath Ledger,04 April 1979
Al Pacino,25 April 1940
Paul Rudd,06 April 1969
William Shakespear,26 April 1564
Emma Watson,15 April 1990
John Cena,23 April 1977
Jack Nicholson,22 April 1937
Lily James,05 April 1989
Marlon Brando,03 April 1924
Leonardo da Vinci,15 April 1452
Guy Fawkes,13 April 1570
Alec Baldwin,03 April 1958
James McAvoy,21 April 1979
Emma Thompson,15 April 1959
Channing Tatum,26 April 1980
Queen Elizabeth II,21 April 1926
Jackie Chan,07 April 1954
James Franco,19 April 1978
Thomas Jefferson,13 April 1743
Seth Rogen,15 April 1982
Vladimir Lenin,22 April 1870
Duke Ellington,29 April 1899
Barbra Streisand,24 April 1942
Michael Fassbender,02 April 1977
David Tennant,18 April 1971
Dwayne Johnson,02 May 1972
Catherine the Great,02 May 1729
Henry Cavill,05 May 1983
Queen Victoria,24 May 1819
Client Eastwood,31 May 1930
John F. Kennedy,29 May 1917
Jeremy Corbyn,26 May 1949
Helena Bonham arter,26 May 1966
Mark Zuckerberg,14 May 1984
Rami Malek,12 May 1981
Malcolm X,19 May 1925
Audrey Hepburn,04 May 1929
Bob Dylan,24 May 1941
Bing Crosby,03 May 1903
James Stewart,20 May 1908
Jack Gleeson,20 May 1992
George Lucas,14 May 1944
David Attenborough,08 May 1926
Adele,05 May 1988
Sigmund Freud,6 May 1856
George Clooney,06 May 1961
Karl Marx,05 May 1818
Ian McKellen,25 May 1939
Donald Trump,14 June 1946
Elon Musk,28 June 1971
Judy Garland,10 June 1922
Boris Johnson,19 June 1964
Lionel Messi,24 June 1987
Kanye West,08 June 1977
Chris Pratt,21 June 1979
Angelina Jolie,04 June 1975
Richard Madden,18 June 1986
George Michael,25 June 1963
Ariana Grande,26 June 1993
Edward Snowden,21 June 1983
Henry VIII,28 June 1491
Marilyn Monroe,01 June 2026
Johnny Depp,09 June 1963
Natalie Portman,09 June 1981
Shia LaBeouf,11 June 1986
Nicole Kidman,20 June 1967
Mark Wahlberg,05 June 1971
Courtney Cox,15 June 1964
Paul McCartney,18 June 1942
Liam Neeson,04 June 1952
Alan Turing,23 June 2012
Arnold Schwarzenegger,30 July 1947
Kristen Bekk,18 July 1980
Selena Gomez,22 July 1992
Tom Cruise,03 July 1962
Sylvester Stallone,06 July 1946
Tom Hanks,09 July 1956
Jennifer Lopez,24 July 1969
Robin Williams,21 July 1951
Margot Robbie,02 July 1990
Nikola Tesla,10 July 1856
Terry Crews,30 July 1968
Kevin Hart,06 July 1979
Harrison Ford,13 July 1942
George W. Bush,06 July 1946
Helen Mirren,26 July 1945
Nelson Mandela,18 July 1918
Jason Statham,26 July 1967
Will Ferrell,16 July 1967
Daniel Radcliffe,23 July 1989
J. K. Rowling,31 July 1965
Ernest Hemingway,21 July 1899
Benedict Cumberbatch,19 July 1979
Willem Dafoe,22 July 1955
Matt LeBlanc,25 July 1967
Barack Obama,04 August 1961
Jason Momoa,01 August 1979
Robert De Niro,17 August 1943
Macaulay Culkin,26 August 1980
Michael Jackson,29 August 1958
Bill Clinton,19 August 1946
Mila Kunis,14 August 1983
Jennifer Larence,15 August 1990
Chris hemsworth,11 August 1983
Whitney Houston,09 August 1963
Matthew Perry,19 August 1969
Cameron Diaz,30 August 1972
Neil Armstron,05 August 1930
Cara Delevingne,12 August 1992
Ben Affleck,15 August 1972
Sean Connery,25 August 1930
Anna Kendrick,09 August 1985
Steve Carell,16 August 1962
Kobe Bryant,23 August 1978
Billy Bob Thornton,04 August 1955
Andy Samberg,18 August 1978
Jack Black,28 August 1969
James Corden,22 August 1978
Freddie Mercury,05 September 1946
Keanu Reeves,02 September 1964
George R. R. Martin,20 September 1948
Avicii,08 September 1989
Will Smith,25 September 1968
Michael Douglas,25 September 1944
Adam Sandler,06 September 1966
Elizabeth I,07 September 1533
Bernie Sanders,08 September 1941
Stephen King,24 September 1947
Charlie Sheen,03 September 1965
Idris Elba,06 September 1972
Bill Murray,21 September 1950
Bruce Springsteen,23 September 1949
Werner Herzog,05 September 1942
Hugh Grant,09 September 1960
Donald Glover,25 September 1983
Avril Lavigne,27 September 1984
Mark Hamill,25 September 1951
Leonard Cohen,21 September 1934
Michael Buble,09 September 1975
Roald Dahl,13 September 1916
Joaquin Phoenix,28 October 1974
Emilia Clarke,23 October 1986
Brie Larson,01 October 1989
Mahatma Gandhi,02 October 1869
Carrie Fisher,21 October 1956
Ryan Reynolds,23 October 1976
Bill Gates,28 October 1955
Lewis Capaldi,07 October 1996
Gwen Stefani,03 October 1969
John Lennon,09 October 1940
Jon Favreau,19 October 1966
John Krasinski,20 October 1979
bob Ross,29 October 1942
Julia Roberts,28 October 1967
Vladimir Putin,07 October 1952
Sacha Baron Cohen,13 October 1971
Theodore Roosevelt,27 October 1858
Matt Damon,08 October 1970
Winona Dyfer,28 October 1971
Katy Perry,25 October 1984
Sylvia Plath,27 October 1932
Jeff Goldblum,22 October 1952
Kate Winslet,05 October 1975
Pablo Picasso,25 October 1881
Hugh Jackman,12 October 1968
Wayne Rooney,24 October 1985
Theresa May,01 October 1956
Scarlett Johansson,22 November 1984
Winston Churchill,30 November 1874
Leonardo DiCaprio,11 November 1974
Bruce Lee,27 November 1940
Miley Cyrus,23 November 1992
Danny DeVito,17 November 1944
Matthew McConaughey,04 November 1969
Anne Hathaway,12 November 1982
Gordon Ramsay,08 November 1966
Emma Stone,06 November 1988
Tina Turner,26 November 1939
Ryan Gosling,12 November 1980
Jimi Hendrix,27 November 1942
Gerard Butler,13 November 1969
Rachel McAdams,17 November 1978
Adam Driver,19 November 1983
David Schwimmer,02 November 1966
Mark Ruffalo,22 November 1967
Martin Scorsese,17 November 1942
Ben Stiller,30 November 1965
Mary Elizabeth Winstead,28 November 1984
Billie Eilish,18 December 2001
Kit Harington,26 December 1986
Taylor Swift,13 December 1989
Brad Pitt,18 December 1963
Frank Sinatra,12 December 2015
Walt Disney,05 December 1901
Vanessa Hudgens,14 December 1988
Ozzy Osbourne,03 December 1948
Justin Trudeau,25 December 1971
Jake Gyllenhaal,19 December 1980
Jared Leto,26 December 1971
Jamie Foxx,13 December 1967
Jay-Z,04 December 1969
Britney Spears,02 December 1981
Steven Spielberg,18 December 1946
Denzel Washington,28 December 1954
Samuel L. Jackson,21 December 1948
Stan Lee,28 December 2022
Tiger Woods,30 December 1975
Brendan Fraser,03 December 1968
Jonah Hill,20 December 1983
Christina Aguilera,18 December 1980
Amanda Seyfried,03 December 1985
Raheem Stirling,08 December 1994
Emmanuel Macron,21 December 1977
Jude Law,29 December 1972
Noam Chomsky,07 December 1928
Ellie Goulding,30 December 1986
Jim Morrison,08 December 1943
Jeff Bridges,04 December 1949
